Grain_Type,Temperature,Humidity,Storage_Days,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall,Spoilage_Class,Hours_To_Spoilage
Rice,32.16,80.4,257,0.135,28.34,132.0,0.336,18.04,2.3,2,6
Rice,36.53,80.25,404,0.109,32.56,193.9,0.883,20.56,25.3,2,2
Maize,25.52,74.87,246,0.46,20.72,97.6,0.238,13.15,4.3,1,124
Maize,21.79,70.51,122,0.233,16.18,125.8,0.308,14.07,5.9,1,84
Rice,35.5,88.83,233,0.061,33.36,121.0,0.66,18.3,29.9,2,2
Wheat,18.3,71.83,367,0.297,13.12,124.4,0.375,13.6,1.0,1,62
Maize,20.32,70.19,142,0.484,14.7,24.6,0.327,14.58,5.5,1,154
Rice,25.42,66.4,243,0.492,18.69,46.0,0.214,15.26,5.1,1,320
Wheat,15.46,75.76,444,0.126,11.2,142.2,0.373,16.37,2.6,2,19
Barley,6.77,50.05,100,0.958,-2.91,47.4,0.066,7.5,1.4,0,523
Barley,33.4,75.23,629,0.029,28.4,77.7,0.712,19.64,10.6,2,7
Sorghum,33.54,84.12,378,0.193,30.48,134.9,0.265,13.69,5.8,2,12
Barley,13.22,44.05,107,0.707,1.25,35.1,0.043,10.57,1.5,0,541
Rice,38.62,91.36,229,0.067,36.95,231.0,0.504,19.78,21.0,2,2
Sorghum,38.75,84.4,384,0.028,35.63,212.7,0.764,15.77,29.1,2,5
Rice,37.88,82.01,405,0.01,34.26,228.4,0.413,19.68,14.7,2,3
Sorghum,38.96,79.2,611,0.055,34.68,180.6,0.376,20.25,27.1,2,2
Sorghum,22.97,65.02,317,0.207,16.03,26.2,0.321,14.33,5.6,1,92
Wheat,33.1,77.44,377,0.147,28.61,104.5,0.387,19.37,26.7,2,7
Wheat,30.07,77.56,730,0.097,25.7,282.2,0.912,23.07,6.6,2,5
Sorghum,30.27,68.92,325,0.472,23.91,87.9,0.177,14.74,0.6,1,82
Sorghum,20.7,70.08,221,0.709,15.04,28.6,0.13,8.48,2.0,0,342
Sorghum,24.19,57.75,25,0.871,15.33,35.1,0.105,11.56,2.0,0,515
Sorghum,31.44,76.64,488,0.445,26.83,194.1,0.271,14.24,9.1,2,23
Barley,23.37,71.85,277,0.282,17.99,113.4,0.453,11.1,9.2,1,151
Rice,32.68,82.07,304,0.129,29.21,183.3,0.36,13.99,9.5,1,20
Sorghum,29.67,71.25,336,0.482,23.89,145.3,0.48,15.28,5.8,1,46
Rice,31.68,66.6,310,0.414,24.68,167.8,0.178,15.37,9.9,1,154
Maize,20.01,68.26,358,0.145,13.98,114.8,0.389,11.02,8.1,1,143
Wheat,16.33,68.93,215,0.249,10.61,165.0,0.344,12.82,1.8,1,221
Sorghum,19.93,53.7,111,0.521,10.25,41.6,0.133,12.54,2.5,0,495
Sorghum,26.43,62.22,90,0.524,18.61,42.8,0.037,8.23,2.1,0,589
Barley,10.28,46.66,46,0.578,-0.64,33.5,0.109,9.68,1.5,0,564
Barley,9.96,55.49,169,0.969,1.46,37.0,0.018,6.99,1.2,0,527
Wheat,36.65,80.11,452,0.117,32.64,87.9,0.426,17.34,18.7,2,3
Sorghum,19.73,53.95,74,0.565,10.14,44.8,0.033,7.6,1.4,0,588
Rice,35.38,80.07,311,0.298,31.4,42.1,0.224,18.01,8.4,2,6
Barley,13.28,61.45,116,0.686,6.02,21.8,0.043,11.83,2.1,0,498
Wheat,14.78,48.55,157,0.79,4.04,4.5,0.114,10.55,2.1,0,597
Sorghum,21.46,54.19,41,0.944,11.81,23.6,0.025,8.45,0.7,0,500
Barley,22.8,62.88,244,0.137,15.35,70.2,0.243,16.12,8.1,1,113
Sorghum,29.28,75.29,358,0.487,24.44,196.5,0.416,13.97,2.7,1,45
Rice,25.07,65.99,102,0.197,18.26,111.2,0.488,15.17,4.5,1,197
Rice,20.25,51.87,52,0.481,10.03,4.8,0.055,10.65,0.6,0,504
Maize,21.39,71.49,329,0.344,16.02,141.5,0.457,15.45,4.9,1,70
Rice,16.93,52.39,105,0.395,7.11,30.2,0.069,10.68,0.2,0,544
Sorghum,27.37,74.83,521,0.357,22.5,16.2,0.325,13.41,2.0,1,65
Maize,25.61,76.29,233,0.463,21.12,192.7,0.197,17.55,1.2,1,92
Sorghum,20.55,59.13,48,0.438,12.29,41.7,0.032,11.01,1.1,0,566
Rice,37.05,65.16,153,0.19,29.39,81.6,0.253,13.82,6.8,1,59
Rice,22.88,45.81,11,0.734,10.58,25.4,0.042,12.49,1.0,0,571
Sorghum,16.33,48.56,108,0.668,5.46,1.9,0.044,11.52,0.9,0,530
Rice,35.87,66.12,168,0.249,28.53,85.8,0.19,16.4,9.3,1,56
Sorghum,19.27,55.34,30,0.328,10.09,30.2,0.022,11.1,2.8,0,601
Wheat,4.09,65.94,165,0.91,-1.7,37.4,0.039,10.73,1.1,0,495
Rice,35.12,73.48,354,0.374,29.64,38.9,0.402,14.81,7.6,2,21
Wheat,34.84,77.89,550,0.153,30.39,170.4,0.641,17.26,9.8,2,9
Maize,18.78,76.73,349,0.496,14.6,51.5,0.459,13.4,7.7,1,64
Rice,23.56,60.04,121,0.913,15.34,48.3,0.077,13.91,3.0,0,581
Maize,18.41,70.36,162,0.399,12.91,146.7,0.359,17.01,0.9,1,146
Wheat,18.14,76.53,274,0.416,13.94,31.1,0.133,12.14,2.6,1,199
Rice,31.83,77.0,155,0.175,27.28,174.0,0.103,18.2,3.5,1,41
Barley,27.04,75.04,195,0.135,22.23,23.5,0.335,13.9,4.9,1,28
Sorghum,18.56,52.76,212,0.733,8.72,39.4,0.073,7.44,2.3,0,507
Barley,18.82,66.38,347,0.316,12.42,45.9,0.478,13.69,9.4,1,94
Sorghum,38.76,80.27,441,0.056,34.73,60.8,0.484,19.59,29.4,2,2
Wheat,10.12,63.67,180,0.402,3.55,14.8,0.021,12.69,2.1,0,556
Barley,13.15,54.68,49,0.566,4.23,44.2,0.14,11.48,1.7,0,575
Maize,20.69,77.05,202,0.463,16.52,50.7,0.155,16.46,4.0,1,102
Wheat,7.31,52.36,146,0.504,-1.8,26.0,0.072,12.35,2.1,0,494
Sorghum,19.85,53.24,208,0.549,10.05,3.2,0.105,8.32,1.2,0,500
Wheat,12.12,53.81,166,0.83,3.04,15.4,0.129,12.44,1.1,0,556
Sorghum,22.92,43.45,6,0.736,9.82,34.8,0.094,9.84,1.5,0,560
Barley,12.27,66.81,45,0.348,6.28,3.6,0.025,10.11,2.8,0,496
Sorghum,39.18,79.72,627,0.111,35.01,298.2,0.77,18.82,29.9,2,4
Barley,23.97,71.45,291,0.14,18.48,163.3,0.265,14.82,8.1,1,98
Barley,28.66,82.36,604,0.093,25.35,95.5,0.784,18.47,21.2,2,6
Sorghum,38.72,83.93,371,0.062,35.5,163.7,0.856,17.75,8.4,2,4
Rice,27.99,49.48,43,0.45,16.42,13.0,0.01,11.31,0.0,0,518
Barley,10.13,47.65,134,0.447,-0.49,35.1,0.147,9.96,1.0,0,552
Maize,21.23,73.84,194,0.362,16.37,152.1,0.181,16.59,3.3,1,103
Sorghum,23.09,67.57,166,0.724,16.75,16.2,0.133,12.56,2.2,1,380
Rice,23.74,45.88,54,0.966,11.38,1.5,0.05,11.54,0.5,0,506
Barley,16.98,68.11,367,0.367,11.05,33.1,0.441,15.65,5.0,2,87
Wheat,12.89,58.23,93,0.411,4.88,34.2,0.098,12.46,2.6,0,543
Rice,34.89,91.34,517,0.03,33.26,240.9,0.472,21.54,14.3,2,1
Wheat,31.42,85.22,681,0.195,28.63,214.3,0.963,18.58,18.9,2,3
Rice,17.92,46.41,7,0.939,6.26,10.8,0.119,12.09,2.0,0,538
Wheat,25.53,73.71,526,0.305,20.48,128.0,0.281,14.71,3.8,1,103
Barley,24.04,68.58,153,0.156,17.89,28.0,0.272,15.69,3.4,1,163
Barley,7.38,53.59,150,0.924,-1.42,3.2,0.074,12.02,0.8,0,518
Maize,18.8,71.75,112,0.49,13.59,84.3,0.203,17.28,2.4,1,191
Rice,32.37,71.71,159,0.387,26.59,12.0,0.262,17.46,3.9,1,58
Wheat,7.0,71.07,74,0.437,2.12,42.5,0.125,10.35,1.1,0,366
Maize,18.47,71.32,159,0.304,13.18,108.3,0.456,17.47,8.1,1,130
Sorghum,41.07,81.86,488,0.12,37.33,259.2,0.707,17.67,17.3,2,3
Wheat,7.51,54.88,2,0.506,-0.97,12.7,0.035,13.27,2.2,0,586
Rice,24.77,59.57,96,0.569,16.36,15.1,0.068,10.58,2.2,0,565
Wheat,33.55,84.98,391,0.191,30.66,99.9,0.428,17.35,7.1,2,7
Sorghum,22.15,52.89,135,0.548,12.08,12.4,0.077,12.01,1.0,0,572
Sorghum,32.09,75.27,356,0.423,27.15,20.8,0.354,16.74,5.1,2,12
Wheat,25.67,71.37,432,0.363,20.09,49.3,0.339,14.43,8.7,1,60
Rice,31.3,78.08,294,0.259,27.01,38.9,0.148,14.94,1.8,1,69
Sorghum,37.62,80.69,727,0.052,33.71,61.6,0.979,18.84,16.9,2,2
Rice,19.28,78.05,15,0.688,15.35,1.3,0.063,9.76,0.6,0,359
Maize,23.06,79.32,153,0.27,19.28,192.8,0.32,13.81,1.3,1,101
Sorghum,17.91,54.9,81,0.81,8.71,47.1,0.096,10.33,0.8,0,554
Maize,12.77,56.97,63,0.952,4.46,7.7,0.133,12.69,1.9,0,525
Wheat,37.63,85.37,390,0.074,34.74,247.6,0.947,15.08,28.3,2,3
Sorghum,14.83,63.76,141,0.719,8.03,47.3,0.068,9.54,0.2,0,585
Maize,8.68,53.29,93,0.689,-0.29,48.0,0.105,11.76,2.9,0,589
Rice,16.46,49.88,26,0.49,5.97,12.5,0.041,11.56,1.3,0,518
Wheat,29.34,81.82,481,0.004,25.9,92.3,0.361,20.55,17.4,2,4
